action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_code,county_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,29.0,5,White,2,Female,34.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),67000.0,128,1886.0,1893.0,25.270000457763672,5311.0,105.20999908447266
4,Application withdrawn by applicant,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",65.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",7.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,7.0,Alpena County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,56,1375.0,1068.0,2.0,2896.0,89.79000091552734
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,Not applicable,4,Not applicable,8321.0,4,Not applicable,7,Not applicable,4,Not applicable,115.0,Monroe County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,71600.0,58,1150.0,445.0,7.010000228881836,2796.0,56.93000030517578
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,27.0,5,White,2,Female,9705.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,41.0,Delta County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",55800.0,99,1834.0,1522.0,4.340000152587891,4288.0,115.43000030517578
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,70.0,5,White,1,Male,206.01,2,Not Hispanic or Latino,5,White,2,Female,45.0,Eaton County,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,13,1398.0,1003.0,11.630000114440918,3696.0,90.68000030517578
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,42.0,5,White,1,Male,231.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,139.0,Ottawa County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,159,2872.0,2363.0,41.4900016784668,11055.0,108.02999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,52.0,3,Black or African American,1,Male,2852.01,5,No co-applicant,8,No co-applicant,5,No co-applicant,17.0,Bay County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",65900.0,85,2136.0,1679.0,7.900000095367432,5851.0,131.0500030517578
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,118.0,5,White,1,Male,1702.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,297,1452.0,1142.0,8.930000305175781,3507.0,125.72000122070312
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,35.0,5,White,1,Male,120.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),67000.0,116,2301.0,2124.0,6.179999828338623,6651.0,127.5999984741211
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,89.0,5,White,1,Male,21.01,5,No co-applicant,8,No co-applicant,5,No co-applicant,77.0,Kalamazoo County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,61800.0,126,3082.0,2697.0,12.850000381469728,8057.0,109.47000122070312
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,79.0,3,Black or African American,2,Female,4130.0,2,Not Hispanic or Latino,3,Black or African American,1,Male,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),88300.0,147,1430.0,724.0,47.470001220703125,3649.0,43.27000045776367
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,Not applicable,4,Not applicable,13.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,35.0,Clare County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),55800.0,64,2681.0,1319.0,6.46999979019165,4006.0,61.720001220703125
3,Application denied by financial institution,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,87.0,5,White,1,Male,3415.0,2,Not Hispanic or Latino,5,White,2,Female,87.0,Lapeer County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,79600.0,205,1768.0,1354.0,4.489999771118164,4236.0,97.9800033569336
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,41.0,5,White,1,Male,2309.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,165,2425.0,1897.0,13.84000015258789,7659.0,81.2300033569336
5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,61.0,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,2454.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,66,618.0,419.0,61.09999847412109,1288.0,61.83000183105469
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,67.0,5,White,1,Male,135.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,70,1395.0,929.0,48.790000915527344,4577.0,56.709999084472656
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,35.0,7,Not applicable,4,Not applicable,2588.0,4,Not applicable,7,Not applicable,4,Not applicable,99.0,Macomb County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,109,1533.0,1054.0,73.80999755859375,3963.0,67.51000213623047
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,2234.0,4,Not applicable,7,Not applicable,4,Not applicable,99.0,Macomb County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,234,3188.0,3052.0,10.229999542236328,9630.0,131.97000122070312
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,27.0,5,White,1,Male,,5,No co-applicant,8,No co-applicant,5,No co-applicant,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,,81,,,,,
3,Application denied by financial institution,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,103.0,5,White,1,Male,8.0,2,Not Hispanic or Latino,5,White,2,Female,57.0,Gratiot County,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,8,1768.0,1337.0,6.340000152587891,4228.0,115.63999938964844
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",53.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",64.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,75.0,Jackson County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,60700.0,61,2815.0,2280.0,2.930000066757202,7105.0,115.86000061035156
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,130.0,5,White,1,Male,17.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,27.0,Cass County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",60900.0,261,2583.0,1604.0,5.210000038146973,5066.0,97.1500015258789
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,4,Not applicable,,5,White,2,Female,5767.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,170,1321.0,1210.0,8.100000381469727,3446.0,177.66000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,64.0,5,White,2,Female,6.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),67000.0,178,1532.0,1550.0,7.239999771118164,3742.0,105.54000091552734
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,73.0,5,White,1,Male,15.06,5,No co-applicant,8,No co-applicant,5,No co-applicant,77.0,Kalamazoo County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),61800.0,189,947.0,888.0,22.51000022888184,7308.0,116.73999786376952
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,55.0,5,White,2,Female,4046.0,2,Not Hispanic or Latino,5,White,1,Male,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,88300.0,55,1902.0,1118.0,29.96999931335449,4575.0,125.83000183105467
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,76.0,5,White,1,Male,1942.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,283,927.0,793.0,17.170000076293945,1904.0,126.51000213623048
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,18.0,5,White,2,Female,6270.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,147.0,St. Clair County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,57,1160.0,968.0,9.390000343322754,2855.0,84.94999694824219
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,48.0,5,White,1,Male,106.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,37.0,Clinton County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,182,937.0,825.0,6.550000190734863,2535.0,103.80999755859376
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",60.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",63.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,65.0,Ingham County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,128,1232.0,894.0,7.050000190734863,4282.0,115.94000244140624
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,540.0,5,White,1,Male,1562.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,1965,2557.0,2130.0,12.56999969482422,6617.0,141.55999755859375
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,Not applicable,4,Not applicable,103.0,4,Not applicable,7,Not applicable,4,Not applicable,21.0,Berrien County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),61000.0,300,2385.0,1429.0,8.630000114440918,4856.0,73.4000015258789
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,168.0,5,White,1,Male,2240.0,2,Not Hispanic or Latino,5,White,2,Female,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,79600.0,255,3946.0,3743.0,14.470000267028809,13133.0,150.63999938964844
4,Application withdrawn by applicant,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",301.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",2903.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,111.0,Midland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,65900.0,53,1721.0,1483.0,6.260000228881836,3770.0,125.54000091552734
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,1540.0,4,Not applicable,7,Not applicable,4,Not applicable,125.0,Oakland County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,105,798.0,628.0,7.110000133514404,1701.0,126.91000366210938
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,115.0,5,White,1,Male,1561.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,361,1614.0,1536.0,19.299999237060547,4507.0,163.94000244140625
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,59.0,5,White,1,Male,1674.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,40,2031.0,1158.0,37.0,5600.0,66.7300033569336
3,Application denied by financial institution,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,26.0,5,White,2,Female,108.0,2,Not Hispanic or Latino,5,White,2,Female,127.0,Oceana County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,87,2326.0,997.0,8.84000015258789,2646.0,100.66000366210938
5,File closed for incompleteness,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",39.0,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,45.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,65.0,Ingham County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,107,1102.0,739.0,30.90999984741211,3805.0,86.04000091552734
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,118.0,5,White,1,Male,212.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,139.0,Ottawa County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,125,2220.0,1971.0,11.40999984741211,6882.0,94.2300033569336
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",100.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6410.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",147.0,St. Clair County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,150,1250.0,1199.0,5.380000114440918,3494.0,107.70999908447266
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,33.0,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,222.03,5,No co-applicant,8,No co-applicant,5,No co-applicant,139.0,Ottawa County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,67000.0,47,2777.0,1839.0,50.79999923706055,9963.0,80.37999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,1,Male,62.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,75.0,Jackson County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),60700.0,155,2902.0,2385.0,4.579999923706055,6766.0,107.80999755859376
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",51.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5389.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,89,1345.0,843.0,99.12000274658205,3397.0,106.95999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,112.0,5,White,1,Male,1381.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,424,1561.0,1429.0,10.90999984741211,4803.0,133.47999572753906
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,,5,White,2,Female,7442.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,93.0,Livingston County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,274,1516.0,1224.0,5.579999923706055,3583.0,127.37000274658205
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",86.0,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,4021.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",88300.0,200,683.0,399.0,34.599998474121094,2682.0,116.04000091552734
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,50.0,5,White,2,Female,4211.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),88300.0,106,1444.0,1079.0,9.289999961853027,3863.0,93.11000061035156
2,Application approved but not accepted,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,54.0,5,White,1,Male,2567.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,79,705.0,457.0,18.959999084472656,1862.0,78.79000091552734
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,19.0,3,Black or African American,2,Female,4074.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,161.0,Washtenaw County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",88300.0,74,2101.0,1372.0,62.65999984741211,5812.0,44.959999084472656
5,File closed for incompleteness,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,126.0,5,White,1,Male,1564.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,430,1449.0,1314.0,24.229999542236328,3801.0,176.6999969482422
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,375.0,5,White,1,Male,110.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,39,1511.0,1308.0,3.2799999713897705,3755.0,111.7699966430664
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,35.0,3,Black or African American,1,Male,5137.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,52,1431.0,634.0,94.94000244140624,3441.0,58.470001220703125
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,297.0,5,White,1,Male,220.02,2,Not Hispanic or Latino,5,White,2,Female,139.0,Ottawa County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,810,1872.0,1443.0,8.199999809265137,4220.0,113.56999969482422
